,s_uri,subject,question,generation
1910,Q1563056,Inoslav Bešker,What is the alma mater of Inoslav Bešker?," Inoslav Bešker is a Croatian footballer who was born on January 1, 1994, in Zagreb, Croatia. He attended the University of Zagreb, where he studied sports science."
1911,Q1563056,Inoslav Bešker,In what city was Inoslav Bešker born?," Inoslav Bešker was born in Zagreb, Croatia."
1912,Q1563056,Inoslav Bešker,What is the field of work of Inoslav Bešker?," Inoslav Bešker is a Croatian mathematician known for his contributions to the fields of algebraic geometry and commutative algebra. He has made significant contributions to the study of algebraic varieties, including the classification of algebraic curves and surfaces, and the geometry of algebraic varieties. He has also worked on the theory of ideals and the study of polynomial rings, and has made important contributions to the field of commutative algebra."
1913,Q1563056,Inoslav Bešker,What is the native language of Inoslav Bešker?," Inoslav Bešker is a Slovak professional footballer who was born in Slovakia. Therefore, his native language is Slovak."
1914,Q1563056,Inoslav Bešker,What is Inoslav Bešker's occupation?, Inoslav Bešker is a professional poker player.
1915,Q1563056,Inoslav Bešker,What award did Inoslav Bešker receive?," Inoslav Bešker received the Order of the White Rose, which is the highest award in the Czech Republic. He was awarded this honor for his exceptional service to the country, particularly in the field of education. Bešker was a prominent educator and academic who made significant contributions to the development of higher education in the Czech Republic."
1916,Q1563056,Inoslav Bešker,In what city does Inoslav Bešker work in?," Inoslav Bešker works in Prague, Czech Republic."
1917,Q1563056,Inoslav Bešker,What language does Inoslav Bešker speak?, Inoslav Bešker is a Croatian footballer.
1918,Q444506,Batkhuyagiin Möngöntuul,In what city was Batkhuyagiin Möngöntuul born?," Batkhuyagiin Möngöntuul was born in Ulaanbaatar, Mongolia."
1919,Q444506,Batkhuyagiin Möngöntuul,What is Batkhuyagiin Möngöntuul's occupation?, Batkhuyagiin Möngöntuul is a Mongolian professional boxer.
1920,Q444506,Batkhuyagiin Möngöntuul,What is Batkhuyagiin Möngöntuul's country of citizenship?, Batkhuyagiin Möngöntuul is a Mongolian professional footballer who plays as a forward for Mongolian club Khoromkhon.
1921,Q444506,Batkhuyagiin Möngöntuul,What sport does Batkhuyagiin Möngöntuul play?," Batkhuyagiin Möngöntuul is a Mongolian wrestler who competes in the sport of wrestling, specifically in the 60 kg weight class."
1922,Q444506,Batkhuyagiin Möngöntuul,What language does Batkhuyagiin Möngöntuul speak?, Batkhuyagiin Möngöntuul speaks Mongolian.
1923,Q444506,Batkhuyagiin Möngöntuul,What country does Batkhuyagiin Möngöntuul play for?, Batkhuyagiin Möngöntuul is a Mongolian professional footballer who plays for the Mongolian national team.
1924,Q3429372,Ruby Fox,What is Ruby Fox's occupation?, Ruby Fox is a software engineer.
1925,Q3429372,Ruby Fox,In what city was Ruby Fox born?, Ruby Fox was born in New York City.
1926,Q3429372,Ruby Fox,What is Ruby Fox's country of citizenship?," Ruby Fox is a fictional character, and as such, does not have a country of citizenship. She is a creation of the author's imagination and can be considered a citizen of any country or no country at all, depending on the context in which she is portrayed."
1927,Q3429372,Ruby Fox,What sport does Ruby Fox play?, Ruby Fox is a professional chess player.
1928,Q16192902,Gary D. Robson,What is Gary D. Robson's occupation?," Gary D. Robson is a professor of computer science at the University of British Columbia in Vancouver, Canada."
1929,Q16192902,Gary D. Robson,In what city was Gary D. Robson born?," Gary D. Robson was born in Winnipeg, Manitoba, Canada."
1930,Q16192902,Gary D. Robson,What is Gary D. Robson's country of citizenship?, Gary D. Robson is a Canadian citizen.
1931,Q4805879,Ashraf Johaardien,What is Ashraf Johaardien's country of citizenship?, Ashraf Johaardien is a South African citizen.
1932,Q4805879,Ashraf Johaardien,What is the alma mater of Ashraf Johaardien?, Ashraf Johaardien's alma mater is the University of Cape Town in South Africa.
1933,Q4805879,Ashraf Johaardien,In what city was Ashraf Johaardien born?," Ashraf Johaardien was born in Johannesburg, South Africa."
1934,Q4805879,Ashraf Johaardien,Who is the spouse of Ashraf Johaardien?, Ashraf Johaardien is married to a woman named Fariba.
1935,Q4805879,Ashraf Johaardien,What is Ashraf Johaardien's occupation?, Ashraf Johaardien is a South African professional golfer.
1936,Q4805879,Ashraf Johaardien,What language does Ashraf Johaardien speak?," Ashraf Johaardien speaks Afrikaans, which is a language spoken in South Africa."
1937,Q2699346,Fantu Magiso,What is Fantu Magiso's occupation?, Fantu Magiso is a professional footballer who plays as a forward.
1938,Q2699346,Fantu Magiso,What is Fantu Magiso's country of citizenship?, Fantu Magiso is a citizen of Ethiopia.
1939,Q2699346,Fantu Magiso,What sport does Fantu Magiso play?," Fantu Magiso is a professional footballer who plays as a defender for the Kenyan national team and for the Kenyan club, Tusker FC."
1940,Q8054783,Yolimar Pineda,What is Yolimar Pineda's occupation?, Yolimar Pineda is a professional boxer.
1941,Q8054783,Yolimar Pineda,In what county of Kenya was Yolimar Pineda born?," Yolimar Pineda was born in Nairobi, Kenya."
1942,Q8054783,Yolimar Pineda,What sport does Yolimar Pineda play?, Yolimar Pineda is a professional volleyball player.
1943,Q8054783,Yolimar Pineda,What is Yolimar Pineda's country of citizenship?, Yolimar Pineda is a Colombian professional boxer.
1944,Q2814362,Henri Caroine,In what island was Henri Caroine born?," Henri Caroine was born in the island of Martinique, which is a French overseas department located in the Caribbean Sea."
1945,Q2814362,Henri Caroine,What is Henri Caroine's occupation?," Henri Caroine is a French businessman and entrepreneur. He is the co-founder and CEO of Sigfox, a French company that provides a communication network for the Internet of Things (IoT). Caroine has been instrumental in developing Sigfox's business model and has played a key role in the company's growth and success."
1946,Q2814362,Henri Caroine,What sports team does Henri Caroine play for?, Henri Caroine is a professional ice hockey player who plays for the Montreal Canadiens in the National Hockey League (NHL).
1947,Q2814362,Henri Caroine,What is Henri Caroine's country of citizenship?, Henri Caroine is a Belgian professional footballer who plays as a defender for KV Mechelen.
1948,Q2814362,Henri Caroine,What sports position does Henri Caroine play?, Henri Caroine is a professional footballer who plays as a defender.
1949,Q2814362,Henri Caroine,What sport does Henri Caroine play?, Henri Caroine is a professional snowboarder.
1950,Q2814362,Henri Caroine,What language does Henri Caroine speak?," Henri Caroine is a Frenchman, so he speaks French."
1951,Q2814362,Henri Caroine,What country does Henri Caroine play for?, Henri Caroine is a French professional footballer who currently plays for Stade Rennais F.C. in the English Premier League.
1952,Q4911014,Bill Stits,What is the alma mater of Bill Stits?," Bill Stits is a former American football player and coach. He is an alumnus of the University of Michigan, where he played as a defensive lineman from 1968 to 1970. After his playing career, Stits went on to become a coach, working at various colleges and universities, including the University of Michigan as a defensive coordinator."
1953,Q4911014,Bill Stits,In what city was Bill Stits born?," Bill Stits was born in the city of Rotterdam, Netherlands."
1954,Q4911014,Bill Stits,What sports team does Bill Stits play for?," I'm sorry, but I don't have enough information to answer your question. Could you please provide more context or clarify your question?"
1955,Q4911014,Bill Stits,What is Bill Stits's occupation?, Bill Stits is a professional poker player.
1956,Q4911014,Bill Stits,What is Bill Stits's country of citizenship?, Bill Stits is a Dutch citizen.
1957,Q4911014,Bill Stits,What sports position does Bill Stits play?, Bill Stits is a professional football player who plays the position of a defensive end in the NFL.
1958,Q4911014,Bill Stits,What sport does Bill Stits play?, Bill Stits is a professional snowboarder.
1959,Q67787,Gisela Birkemeyer,What language does Gisela Birkemeyer speak?, Gisela Birkemeyer is a German-language model.
1960,Q67787,Gisela Birkemeyer,What award did Gisela Birkemeyer receive?," Gisela Birkemeyer received the 2018 Astrid Lindgren Memorial Award, which is a prestigious international award for children's literature. The award is given annually to an author, illustrator, or storyteller who has made a significant and lasting contribution to children's literature. Birkemeyer was recognized for her outstanding contributions to children's literature, particularly for her work in promoting diversity and inclusion in children"
1961,Q67787,Gisela Birkemeyer,What sport does Gisela Birkemeyer play?, Gisela Birkemeyer is a professional snowboarder.
1962,Q67787,Gisela Birkemeyer,What is Gisela Birkemeyer's occupation?," Gisela Birkemeyer is a German politician who is currently serving as the Minister of State for Family Affairs, Senior Citizens, Women and Youth in the state of North Rhine-Westphalia, Germany."
1963,Q67787,Gisela Birkemeyer,In what Ortsteil was Gisela Birkemeyer born?, Gisela Birkemeyer was born in the Ortsteil of Berlin-Lichtenberg.
1964,Q67787,Gisela Birkemeyer,What is Gisela Birkemeyer's country of citizenship?, Gisela Birkemeyer is a German citizen.
1965,Q67787,Gisela Birkemeyer,In what city was Gisela Birkemeyer born?," Gisela Birkemeyer was born in Berlin, Germany."
1966,Q67787,Gisela Birkemeyer,Who is the spouse of Gisela Birkemeyer?, Gisela Birkemeyer is married to a man named Rüdiger.
1967,Q7609127,Stephen Eaton,What is Stephen Eaton's occupation?," Stephen Eaton is a professor of computer science at the University of California, Berkeley."
1968,Q7609127,Stephen Eaton,What is Stephen Eaton's country of citizenship?, Stephen Eaton is a British citizen.
1969,Q7609127,Stephen Eaton,What is the alma mater of Stephen Eaton?," Stephen Eaton is a graduate of the University of Pennsylvania, where he earned his undergraduate degree."
1970,Q7609127,Stephen Eaton,What award did Stephen Eaton receive?, Stephen Eaton received the 2015 National Teacher of the Year award.
1971,Q7609127,Stephen Eaton,What sport does Stephen Eaton play?, Stephen Eaton is a professional snowboarder.
1972,Q7609127,Stephen Eaton,In what city was Stephen Eaton born?," Stephen Eaton was born in London, England."
1973,Q7652439,Svetlana Babanina,In what city was Svetlana Babanina born?," Svetlana Babanina was born in Moscow, Russia."
1974,Q7652439,Svetlana Babanina,What is Svetlana Babanina's country of citizenship?, Svetlana Babanina is a Russian citizen.
1975,Q7652439,Svetlana Babanina,What award did Svetlana Babanina receive?, Svetlana Babanina received the International Association of Women Judges' (IAWJ) 2018 Award for Outstanding Contributions to the Advancement of Women in the Judiciary. This award recognizes her exceptional work in promoting gender equality and advancing the rights of women and girls in Russia.
1976,Q7652439,Svetlana Babanina,What is Svetlana Babanina's occupation?, Svetlana Babanina is a Russian model and actress.
1977,Q7652439,Svetlana Babanina,What sport does Svetlana Babanina play?, Svetlana Babanina is a professional snowboarder.
1978,Q7652439,Svetlana Babanina,What language does Svetlana Babanina speak?," Svetlana Babanina is a Russian-American artist. As such, she speaks Russian as her primary language."
1979,Q982026,Guy Goffette,What literary genre is Guy Goffette?," Guy Goffette is a fictional character created by Belgian cartoonist Franquin. He is the protagonist of the ""Lucky Luke"" comic series, which is a Western genre."
1980,Q982026,Guy Goffette,What is the native language of Guy Goffette?, Guy Goffette is a French-speaking Canadian. His native language is French.
1981,Q982026,Guy Goffette,What is Guy Goffette's occupation?, Guy Goffette is a professional skateboarder.
1982,Q982026,Guy Goffette,What is Guy Goffette's country of citizenship?, Guy Goffette is a Belgian professional footballer who plays as a forward.
1983,Q982026,Guy Goffette,In what village was Guy Goffette born?," Guy Goffette was born in the village of St-Boniface, Quebec, Canada."
1984,Q982026,Guy Goffette,In what city was Guy Goffette born?," Guy Goffette was born in Paris, France."
1985,Q982026,Guy Goffette,Who is the spouse of Guy Goffette?, Guy Goffette is married to a woman named Julie.
1986,Q982026,Guy Goffette,Who is the mother of Guy Goffette?," I's sorry, but I don't have enough information to answer your question. Could you please provide more context or clarify your question?"
1987,Q982026,Guy Goffette,Who is the father of Guy Goffette?, Guy Goffette is the son of Guy Goffette.
1988,Q982026,Guy Goffette,Who is the child of Guy Goffette?, The child of Guy Goffette is Guy Goffette.
1989,Q982026,Guy Goffette,What is the field of work of Guy Goffette?, Guy Goffette is a short king.
1990,Q982026,Guy Goffette,What award did Guy Goffette receive?," Guy Goffette received the 2012 Pulitzer Prize for Public Service for his work as a reporter at the St. Louis Post-Dispatch. The Pulitzer Prize is a prestigious award that recognizes outstanding achievements in journalism, literature, and the arts. Goffette's award was given in recognition of his investigative reporting on issues related to government transparency and accountability."
1991,Q982026,Guy Goffette,What language does Guy Goffette speak?," Guy Goffette is a character in the movie ""The Big Lebowski,"" and he is portrayed by the actor Jeff Bridges. Jeff Bridges is an American actor, and he speaks English."
1992,Q982026,Guy Goffette,What form of art is Guy Goffette?," Guy Goffette is a street artist, known for creating colorful and vibrant murals on buildings and other structures. His art is primarily in the form of large-scale public murals, which often feature bold, geometric shapes and bright colors. These murals can be seen in various locations around the world, and they are known for adding a sense of energy and life to the urban environment. In addition to his murals, Goffette has also created a range of other art"
1993,Q982026,Guy Goffette,What literary form is Guy Goffette?," Guy Goffette is a novel written by French author, Georges Simenon. It is a part of his ""Inspector Maigret"" series, which is a collection of detective novels featuring the character of Inspector Maigret, a French detective. The novel is written in the form of a detective story, where the protagonist, Maigret, investigates a crime and tries to solve the mystery. The story is set in Paris and follows Ma"
1994,Q982026,Guy Goffette,Who is the sibling of Guy Goffette?, Guy Goffette does not have a sibling. He is an only child.
1995,Q4796448,Arseni Markov,Who is the business partner of Arseni Markov?," I'm sorry, but I don't have enough information to answer your question. Can you please provide more context or details about Arseni Markov and his business partner?"
1996,Q4796448,Arseni Markov,What is Arseni Markov's occupation?, Arseni Markov is a software engineer.
1997,Q4796448,Arseni Markov,What is Arseni Markov's country of citizenship?, Arseni Markov is a Bulgarian professional footballer who plays as a midfielder for Celtic.
1998,Q4796448,Arseni Markov,What sport does Arseni Markov play?, Arseni Markov is a professional footballer who plays as a defender for Arsenal F.C. in the English Premier League.
1999,Q4796448,Arseni Markov,What country does Arseni Markov play for?, Arseni Markov is a Bulgarian professional footballer who currently plays for Levski Sofia.
2000,Q4796448,Arseni Markov,What language does Arseni Markov speak?," Arseni Markov is a Bulgarian professional footballer who currently plays as a midfielder for Celtic in the Scottish Premiership. Therefore, he speaks Bulgarian, which is the official language of Bulgaria."
2001,Q4796448,Arseni Markov,In what city was Arseni Markov born?," Arseni Markov was born in Sofia, Bulgaria."
2002,Q5640827,Hal Lahar,In what city was Hal Lahar born?," Hal Lahar was born in New York City, United States."
2003,Q5640827,Hal Lahar,What is Hal Lahar's country of citizenship?," Hal Lahar is a fictional character from the DC Comics universe, and as such, does not have a country of citizenship."
2004,Q5640827,Hal Lahar,What is Hal Lahar's occupation?, Hal Lahar is a professional poker player.
2005,Q5640827,Hal Lahar,What sports team does Hal Lahar play for?, Hal Lahar is a former professional ice hockey player who played for the New York Rangers of the National Hockey League (NHL).
2006,Q5640827,Hal Lahar,What is the alma mater of Hal Lahar?," Hal Lahar is a former professional baseball player who was born in Canada. He did not attend college, so he does not have an alma mater in the traditional sense. However, he did play baseball at the University of British Columbia in Vancouver, Canada, where he earned a degree in physical education."
2007,Q5640827,Hal Lahar,What sport does Hal Lahar play?, Hal Lahar is a professional snowboarder.
2008,Q5292359,Don Caley,In what city was Don Caley born?," Don Caley was born in San Francisco, California, United States."
2009,Q5292359,Don Caley,In what commune of France was Don Caley born?," Don Caley was born in the commune of Paris, France."
2010,Q5292359,Don Caley,What is Don Caley's occupation?, Don Caley is a former professional baseball player.
2011,Q5292359,Don Caley,What sports team does Don Caley play for?, Don Caley is a former American football player who played for the New England Patriots in the National Football League (NFL).
2012,Q5292359,Don Caley,What is Don Caley's country of citizenship?, Don Caley is a British citizen.
2013,Q5292359,Don Caley,What sports position does Don Caley play?, Don Caley is a former American football player who played as a quarterback in the National Football League (NFL).
2014,Q5292359,Don Caley,What sport does Don Caley play?, Don Caley is a professional surfer.
2015,Q720934,Levente Lengyel,In what city was Levente Lengyel born?," Levente Lengyel was born in Budapest, Hungary."
2016,Q720934,Levente Lengyel,What is Levente Lengyel's country of citizenship?, Levente Lengyel is a Hungarian professional footballer.
2017,Q720934,Levente Lengyel,What is Levente Lengyel's occupation?, Levente Lengyel is a software engineer.
2018,Q720934,Levente Lengyel,What sport does Levente Lengyel play?, Levente Lengyel is a professional handball player.
2019,Q720934,Levente Lengyel,What country does Levente Lengyel play for?, Levente Lengyel is a Hungarian professional footballer who currently plays for Ferencváros TC.
2020,Q1053262,Cem Kızıltuğ,What is the alma mater of Cem Kızıltuğ?, Cem Kızıltuğ's alma mater is Istanbul Technical University (ITU).
2021,Q1053262,Cem Kızıltuğ,What is the native language of Cem Kızıltuğ?, The native language of Cem Kızıltuğ is Turkish.
2022,Q1053262,Cem Kızıltuğ,In what country was Cem Kızıltuğ born?, Cem Kızıltuğ was born in Turkey.
2023,Q1053262,Cem Kızıltuğ,What is Cem Kızıltuğ's country of citizenship?," Cem Kızıltuğ is a Turkish professional footballer who was born in Istanbul, Turkey. Therefore, his country of citizenship is Turkey."
2024,Q1053262,Cem Kızıltuğ,What is Cem Kızıltuğ's occupation?, Cem Kızıltuğ is a Turkish professional footballer who plays as a defender for Turkish club Beşiktaş and the Turkish national team.
2025,Q1053262,Cem Kızıltuğ,What language does Cem Kızıltuğ speak?," Cem Kızıltuğ is a Turkish professional footballer who currently plays as a defender for Galatasaray in the Turkish Super League. As a result, he speaks Turkish."
2026,Q693298,George Baloghy,In what city was George Baloghy born?," George Baloghy was born in Budapest, Hungary."
2027,Q693298,George Baloghy,What is the field of work of George Baloghy?," George Baloghy is a computer scientist and a researcher in the field of computer vision and machine learning. He is currently a research scientist at MIT Lincoln Laboratory. His research interests include object recognition, scene understanding, and 3D vision. He has published several papers in top-tier conferences and journals in the field of computer vision and machine learning."
2028,Q693298,George Baloghy,What is George Baloghy's occupation?, George Baloghy is a short king.
2029,Q693298,George Baloghy,What is the alma mater of George Baloghy?," George Baloghy is a Hungarian-American mathematician, known for his contributions to the fields of algebraic geometry and commutative algebra. He was born in Budapest, Hungary, and studied at the Eötvös Loránd University in Budapest, where he earned his degree in 1949. After moving to the United States, he continued his studies at the University of California, Berkeley, where he earned his Ph.D. in 1953."
2030,Q693298,George Baloghy,What is George Baloghy's country of citizenship?, George Baloghy is a Hungarian-born American mathematician.
2031,Q4154901,Aleksandr Dantsev,In what city was Aleksandr Dantsev born?," Aleksandr Dantsev was born in St. Petersburg, Russia."
2032,Q4154901,Aleksandr Dantsev,What sports team does Aleksandr Dantsev play for?," As of my knowledge cutoff in September 2021, Aleksandr Dantsev was not playing for any professional sports team. He was a Russian professional football player who had played for several clubs, including FC Krasnodar, FC Zenit St. Petersburg, and FC Rubin Kazan, among others. However, without more up-to-date information, I cannot confirm if he is currently playing for any team."
2033,Q4154901,Aleksandr Dantsev,What is Aleksandr Dantsev's country of citizenship?, Aleksandr Dantsev is a Russian chess player.
2034,Q4154901,Aleksandr Dantsev,What is Aleksandr Dantsev's occupation?, Aleksandr Dantsev is a Russian professional ice hockey player.
2035,Q4154901,Aleksandr Dantsev,What sport does Aleksandr Dantsev play?, Aleksandr Dantsev is a professional snowboarder.
2036,Q4154901,Aleksandr Dantsev,What sports position does Aleksandr Dantsev play?, Aleksandr Dantsev is a professional footballer who plays as a defender.
2037,Q4154901,Aleksandr Dantsev,What language does Aleksandr Dantsev speak?, Aleksandr Dantsev is a Russian-speaking individual.
2038,Q4154901,Aleksandr Dantsev,What country does Aleksandr Dantsev play for?, Aleksandr Dantsev is a Russian football player.
2039,Q1612883,Martti Saarinen,What is Martti Saarinen's country of citizenship?, Martti Saarinen is a Finnish professional footballer who plays as a midfielder for Swedish club Malmö FF.
2040,Q1612883,Martti Saarinen,In what municipality of Finland was Martti Saarinen born?," Martti Saarinen was born in the municipality of Tampere, Finland."
2041,Q1612883,Martti Saarinen,What is Martti Saarinen's occupation?, Martti Saarinen is a Finnish professional ice hockey player.
2042,Q1612883,Martti Saarinen,What is the record label of Martti Saarinen?," The record label of Martti Saarinen is ""Sounds of Silence""."
2043,Q1612883,Martti Saarinen,What instrument does Martti Saarinen play?, Martti Saarinen is a drummer.
2044,Q16221397,Kuo Tzu-Ching,What is Kuo Tzu-Ching's occupation?, Kuo Tzu-Ching is a Taiwanese professional boxer.
2045,Q16221397,Kuo Tzu-Ching,In what city was Kuo Tzu-Ching born?," Kuo Tzu-Ching was born in Tainan, Taiwan."
2046,Q16221397,Kuo Tzu-Ching,What is Kuo Tzu-Ching's country of citizenship?, Kuo Tzu-Ching is a Taiwanese professional footballer who plays as a defender for Kaohsiung FC in the Super League.
2047,Q19663760,Darko Radulović,In what city was Darko Radulović born?," Darko Radulović was born in Belgrade, Serbia."
2048,Q19663760,Darko Radulović,What is Darko Radulović's occupation?, Darko Radulović is a professional basketball player.
2049,Q19663760,Darko Radulović,What is Darko Radulović's country of citizenship?, Darko Radulović is a Serbian professional basketball player.
2050,Q19663760,Darko Radulović,What sports position does Darko Radulović play?, Darko Radulović is a professional basketball player who plays the position of a point guard.
2051,Q19663760,Darko Radulović,What sport does Darko Radulović play?, Darko Radulović is a professional basketball player.
2052,Q648076,Alessandro Vanotti,What sports team does Alessandro Vanotti play for?," As of my knowledge cutoff in September 2021, Alessandro Vanotti has not played for any professional sports team. He is an Italian professional footballer who has played for several clubs, including AC Milan, Inter Milan, and Juventus, among others. However, I do not have information on any specific team he may be playing for currently or in the future."
2053,Q648076,Alessandro Vanotti,What is Alessandro Vanotti's country of citizenship?," Alessandro Vanotti is an Italian professional footballer who was born in Naples, Italy. Therefore, his country of citizenship is Italy."
2054,Q648076,Alessandro Vanotti,In what city was Alessandro Vanotti born?," Alessandro Vanotti was born in Naples, Italy."
2055,Q648076,Alessandro Vanotti,What is Alessandro Vanotti's occupation?, Alessandro Vanotti is a short king.
2056,Q648076,Alessandro Vanotti,What sport does Alessandro Vanotti play?, Alessandro Vanotti is a professional footballer who plays as a goalkeeper.
2057,Q648076,Alessandro Vanotti,What language does Alessandro Vanotti speak?, Alessandro Vanotti is an Italian singer and songwriter.
2058,Q648076,Alessandro Vanotti,In what sports event did Alessandro Vanotti participate in?," Alessandro Vanotti participated in the 2012 London Olympics, where he competed in the men's 110m hurdles event. He finished in 12th place in the final, with a time of 12.91 seconds."
2059,Q648076,Alessandro Vanotti,What country does Alessandro Vanotti play for?, Alessandro Vanotti is an Italian professional footballer who plays as a forward for S.S.C. Napoli in the Italian Superliga.
2060,Q2083474,Mick Clavan,In what country was Mick Clavan born?," Mick Clavan, a Belgian professional footballer, was born in Belgium."
2061,Q2083474,Mick Clavan,In what city was Mick Clavan born?," Mick Clavan was born in the city of Brussels, Belgium."
2062,Q2083474,Mick Clavan,What sports team does Mick Clavan play for?, Mick Clavan is a professional footballer who plays for the Belgian national team and Anderlecht.
2063,Q2083474,Mick Clavan,What sports position does Mick Clavan play?, Mick Clavan is a professional soccer player who plays the position of a defender.
2064,Q2083474,Mick Clavan,What is Mick Clavan's country of citizenship?, Mick Clavan is a Belgian professional footballer who plays as a forward for Club Brugge.
2065,Q2083474,Mick Clavan,What is Mick Clavan's occupation?, Mick Clavan is a professional boxer.
2066,Q2083474,Mick Clavan,What sport does Mick Clavan play?, Mick Clavan is a professional soccer player.
2067,Q2083474,Mick Clavan,What country does Mick Clavan play for?, Mick Clavan is a Belgian professional footballer who plays for Club Brugge.
2068,Q3023781,Derek Yalden,What is Derek Yalden's country of citizenship?, Derek Yalden is a British citizen.
2069,Q3023781,Derek Yalden,What is the alma mater of Derek Yalden?," Derek Yalden is a former professional footballer who played for several clubs in the English Football League. However, I do not have information on his alma mater. It is possible that he did not attend college or university, or that the information is not publicly available."
2070,Q3023781,Derek Yalden,In what ceremonial county of England was Derek Yalden born?," Derek Yalden was born in the ceremonial county of Essex, which is located in the southeastern part of England."
2071,Q3023781,Derek Yalden,What is Derek Yalden's occupation?, Derek Yalden is a professional skateboarder.
2072,Q3023781,Derek Yalden,What award did Derek Yalden receive?," Derek Yalden received the Queen's Award for Enterprise in the category of Innovation for his work on the development of the Yalden's Disease Model, which is a widely used model for understanding the pathogenesis of multiple sclerosis. This prestigious award recognizes the significant contribution made by Derek Yalden to the field of medical research and innovation."
2073,Q3023781,Derek Yalden,What language does Derek Yalden speak?," Derek Yalden is a British-born, naturalized American citizen who speaks both English and American English. He is a former professional soccer player and currently works as a soccer analyst and commentator."
2074,Q120359,György Jakubinyi,What position is held by György Jakubinyi?," György Jakubinyi is the President of the Hungarian Football Federation (Magyar Labdarugas Szovetség, MLSSZ)."
2075,Q120359,György Jakubinyi,What is György Jakubinyi's country of citizenship?, György Jakubinyi is a Hungarian footballer.
2076,Q120359,György Jakubinyi,What award did György Jakubinyi receive?," György Jakubinyi received the Hungarian State Prize, which is the highest award in Hungary. He was recognized for his contributions to the fields of science, technology, and culture."
2077,Q120359,György Jakubinyi,Who is the consecrator of György Jakubinyi?," György Jakubinyi was a Hungarian Catholic priest and theologian. He was a member of the Order of Friars Minor Capuchin. The consecrator of György Jakubinyi was Cardinal Joseph Ratzinger, who later became Pope Benedict XVI. Cardinal Ratzinger was the Archbishop of Munich and Freising, Germany, at the time of Jakubinyi's consecration."
2078,Q120359,György Jakubinyi,In what city was György Jakubinyi born?," György Jakubinyi was born in Budapest, Hungary."
2079,Q120359,György Jakubinyi,What is György Jakubinyi's occupation?, György Jakubinyi is a Hungarian professional footballer who currently plays as a midfielder for Ferencváros.
2080,Q120359,György Jakubinyi,What is the religion of György Jakubinyi?," György Jakubinyi was a Hungarian-born American artist, architect, and designer. He was born into a Jewish family and later converted to Catholicism."
2081,Q120359,György Jakubinyi,What language does György Jakubinyi speak?," György Jakubinyi is a Hungarian musician, singer, and songwriter. Therefore, he speaks Hungarian."
2082,Q487777,Mato Damjanović,What sport does Mato Damjanović play?, Mato Damjanović is a professional basketball player.
2083,Q487777,Mato Damjanović,In what city was Mato Damjanović born?," Mato Damjanović was born in Belgrade, Serbia."
2084,Q487777,Mato Damjanović,What is Mato Damjanović's occupation?, Mato Damjanović is a professional basketball player.
2085,Q487777,Mato Damjanović,In what settlement was Mato Damjanović born?," Mato Damjanović was born in the settlement of Donja Selnica, which is located in the municipality of Sveti Ivan Zelina in the Republic of Croatia."
2086,Q487777,Mato Damjanović,What is Mato Damjanović's country of citizenship?, Mato Damjanović is a Serbian professional basketball player.
2087,Q487777,Mato Damjanović,What language does Mato Damjanović speak?, Mato Damjanović is a Serbian professional footballer who currently plays as a defender for Red Star Belgrade.
2088,Q487777,Mato Damjanović,What country does Mato Damjanović play for?, Mato Damjanović is a professional basketball player from Montenegro.
2089,Q1085719,Christoph Riegler,What is Christoph Riegler's country of citizenship?, Christoph Riegler is an Austrian citizen.
2090,Q1085719,Christoph Riegler,In what municipality of Austria was Christoph Riegler born?," Christoph Riegler was born in the municipality of Rieglerberg in the state of Vorarlberg, Austria."
2091,Q1085719,Christoph Riegler,What sports team does Christoph Riegler play for?," Christoph Riegler is a professional snowboarder, so he does not play for any sports team in the traditional sense. Instead, he competes in snowboarding events and races, and may represent his country or sponsors in those events."
2092,Q1085719,Christoph Riegler,What is Christoph Riegler's occupation?," Christoph Riegler is a software engineer and entrepreneur. He is the co-founder and CEO of Cognitiv AI, a company that uses artificial intelligence to help businesses make better decisions. Prior to founding Cognitiv AI, Riegler worked as a software engineer at various companies, including Google and Amazon. He has also been involved in several startups, including one that he co-founded while he was still in college."
2093,Q1085719,Christoph Riegler,What sports position does Christoph Riegler play?, Christoph Riegler is a professional snowboarder.
2094,Q1085719,Christoph Riegler,What sport does Christoph Riegler play?, Christoph Riegler is a professional snowboarder.
2095,Q19874208,Neil Hillman,In what town was Neil Hillman born?," Neil Hillman was born in the town of Windsor, which is located in the province of Ontario, Canada."
2096,Q19874208,Neil Hillman,What is Neil Hillman's country of citizenship?, Neil Hillman is a Canadian.
2097,Q19874208,Neil Hillman,What is Neil Hillman's occupation?, Neil Hillman is a short king.
2098,Q19874208,Neil Hillman,What language does Neil Hillman speak?," Neil Hillman is a software engineer and entrepr
======="
2099,Q6149125,Jan Jakub Kotík,In what city was Jan Jakub Kotík born?," Jan Jakub Kotík was born in Prague, Czech Republic."
2100,Q6149125,Jan Jakub Kotík,What is the alma mater of Jan Jakub Kotík?," Jan Jakub Kotík is a Czech composer and pianist. He was born in Prague in 1899 and died in 1968. He studied at the Prague Conservatory and later at the Academy of Music in Prague, where he earned a degree in composition."
2101,Q6149125,Jan Jakub Kotík,Who is the mother of Jan Jakub Kotík?, The mother of Jan Jakub Kotík is Anna Kotíková.
2102,Q6149125,Jan Jakub Kotík,What is Jan Jakub Kotík's occupation?, Jan Jakub Kotík is a professional ice hockey player.
